Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Jan 09;676;94,95;838,83;11562,95;1420,36;902,99;4856,85;5,23;875,3;24,8;8314,11;1144,9;23,45;72,51;109,66;858,69;82,58;18,96;22750;557,74
Feb 09;639;89,7;750,86;10410,75;1338,06;823,09;4309,17;4,49;778,25;22,05;6911,99;1099,63;22,53;75,59;107,85;943;78,83;15,68;30813;684,57
Mrz. 09;582;93,64;805,22;9710,73;1338,08;729,57;3817,51;3,96;607,46;18,6;6582,23;1246,52;22,53;64,07;105,54;924,27;87,89;13,83;24000;721,06
Apr 09;566;97,05;893,02;11331,6;1431,81;793,59;4074,79;3,49;790,01;19,94;8077,68;1393,91;22,53;59,78;112,36;890,2;94,55;12,94;24125;674,05
Mai 09;562;109,78;970;12763,36;1464,42;872,74;4769,45;3,83;1012,24;23,68;9084,91;1449,67;25,98;62,69;118,55;928,65;109,28;16,24;30800;675,55
Jun 09;578;127,94;964,05;14961,95;1586,34;923,26;4992,1;3,8;1277,39;35,32;10937,8;1668,19;28,93;71,66;130,89;945,67;129,99;18,49;45500;746,75
Jul 09;585;119,83;1044,75;16024,5;1674,33;920,82;4820,61;3,39;1151,05;33,96;10962,6;1674,51;28,83;83,95;140,02;934,23;121,64;18,05;43525;938,66
Aug 09;611;130,44;1085,6;19375,93;1927,64;990,22;5330,87;3,14;1330,83;37,65;12368,2;1893,04;32,48;97,67;161,31;949,38;134,68;21,6;38375;1021,44
Sep 09;642;124,74;1126,98;17404,64;1835,6;1019,52;5479,35;2,99;1243,49;35,08;11342,3;2205,48;30,09;80,71;151,27;996,59;128,47;23,95;30375;989,78
Okt 09;646;134,81;1106,17;18489,48;1875,66;1054,91;5681,88;4;1368,88;36,61;11858,2;2227,69;30,65;86,79;157,47;1043,16;139,21;23,5;31800;776,07
Nov 09;627;140,82;1149,01;16911,33;1956,55;1036,18;5410,61;3,68;1395,01;33,78;12741,9;2303,44;29,64;99,26;166,65;1127,04;145,82;21,89;41688;797,99
Dez 09;634;137,84;1168,47;17121,62;2181,26;1098,89;5653,88;5,35;1629,41;39,99;13229,4;2326,26;30,86;105,25;176,78;1134,72;140,86;24,68;36625;1000,75
Jan 10;653;143,74;1119,54;18405,55;2230,15;1116,56;5975,52;5,84;1699,33;47,43;12750,5;2352,18;33,49;125,91;191,18;1117,96;144,95;26,5;37600;1017,19
Feb 10;673;139,3;1133,35;19060,55;2053,29;1073,89;5587,5;5,32;1594,24;39,94;11621,6;2125,8;32,99;127,62;183,23;1095,41;140,4;22,93;34375;1004,26
